title,authors,description,category,averageRating,ratingsCount,thumbnail
Still Life,Louise Penny,"Chief Inspector Armand Gamache of Canada's Sûreté du Quebec is called to Three Pines, a tiny hamlet south of Montreal, to investigate the suspicious hunting ""accident"" that claimed the life of Jane Neal, a local fixture in the village.",Fiction,,,http://books.google.com/books/content?id=mFjPpjWO4dUC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Waiting for Wednesday,Nicci French,"While consulting on the murder of housewife who was hiding a shocking secret, brilliant psychotherapist Frieda Klein is brought closer to a serial killer who has long escaped detection and wonders if she is solving both cases or if she is the victim of her own paranoid, fragile mind.",Fiction,,,http://books.google.com/books/content?id=953GnAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
And Then There Were None and Selected Plays,Agatha Christie,Compiles four of Christie's stage dramas.,"Detective and mystery plays, English",,,http://books.google.com/books/content?id=Ne6aoAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Alex,Pierre Lemaître,"In kidnapping cases, the first few hours are crucial. Alex Prévost - beautiful, resourceful, tough - may be no ordinary victim, but her time is running out. Commandant Camille Verhoeven and his detectives have nothing to go on: all they know is that a girl was snatched off the streets of Paris and bundled into a white van. The enigma that is the fate of Alex will keep Verhoeven guessing until the bitter, bitter end. And before long, saving her life will be the least of his worries.",Crime,,,http://books.google.com/books/content?id=tAMGoQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Déjà Dead,Kathy Reichs,"A body is too decomposed for a standard autopsy. Dr Brennan takes on the forensic case and, convinced that a serial killer is at work, finally persuades the sceptical detective in charge of the truth, but only after the body count has grown.",Fiction,,,http://books.google.com/books/content?id=hHul7i-8X9AC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Death on the Nile,Agatha Christie,,English fiction,,,
The Angel of Darkness,Caleb Carr,"In one of the most critically acclaimed novels of the year, Caleb Carr-- bestselling author of The Alienist--pits Dr. Laszlo Kreizler and his colleagues against a murderer as evil as the darkest night. . . .",Fiction,,,http://books.google.com/books/content?id=3kTCn5KmnFUC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Archer's Goon,Diana Wynne Jones,,,,,http://books.google.com/books/content?id=0QEfAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Five Go to Smuggler's Top,Enid Blyton,,Children's stories,,,http://books.google.com/books/content?id=B-j6HAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Rottweiler,Ruth Rendell,A series of apparently motiveless murders disrupts the lives of some very different people in Rendell's darkly atmospheric London.,Fiction,,,http://books.google.com/books/content?id=dWorAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Appointment with death,Agatha Christie,,,,,
Five Go Adventuring Again,Enid Blyton,A thief at Kirrin Cottage! Who can it be? The Famous Five think they know - but they need proof! Then they find an old map and an unusual hiding place.,Adventure stories,,,http://books.google.com/books/content?id=oyv_XwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Five Go Off to Camp,Enid Blyton,,Children's stories,,,http://books.google.com/books/content?id=w27vHAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Hound of the Baskervilles,Arthur Conan Doyle,"Part of the ANDRE DEUTSCH CLASSICS series, a classic mystery story which features Sherlock Holmes, who is called upon to investigate reports of a beast which is terrorizing an American gentleman and his family. Includes an introduction by Trevor McDonald.",Detective and mystery stories,,,
